0,10
1,5
2,6
3,8
4,10
5,5
6,4
7,5
8,9
9,10
10,2
11,10
12,5
13,4
14,10
15,5
16,2
17,4
18,10
19,5
20,3
21,10
22,5
23,3
24,10
25,5
26,2
27,10
28,5
29,2
30,10
31,5
32,2
33,10
34,5
35,10
36,1
37,6
38,10
39,2
40,5
41,2
42,10
43,5
44,1
45,10
46,5
47,2
48,10
49,5
50,4
51,10
52,5
53,1
54,10
55,5
56,10
57,2
58,5
59,7
60,8
61,2
62,3
63,5
64,7
65,10
66,4
67,10
68,5
69,5
70,10
71,7
72,7
73,10
74,10
75,5
76,5
77,4
78,10
79,8
80,5
81,10
82,7
83,4
84,10
85,7
86,5
87,10
88,7
89,5
90,10
91,8
92,5
93,10
94,8
95,5
96,10
97,6
98,3
99,4
100,8
101,6
102,1
103,10
104,4
105,1
106,10
107,3
